confirmedCode;date;confirmedQuantity;confirmedTotalQuantity;nameCountry;nameDataset
Confirmed-000209;2020-06-11;223;4404;Costa de Marfil;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000210;2020-06-11;105;10589;Argelia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000211;2020-06-11;156;1439;Mauritania;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000212;2020-06-11;5;118;Angola;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000213;2020-06-11;1442;39726;Egipto;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000214;2020-06-11;18;494;Ruanda;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000215;2020-06-11;7;639;Santo Tomé y Príncipe;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000216;2020-06-11;2;848;Chad;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000217;2020-06-11;12;332;Zimbabue;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000218;2020-06-11;42;657;Cabo Verde;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000219;2020-06-11;26;481;Malaui;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000220;2020-06-11;4;8537;Marruecos;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000221;2020-06-11;51;449;Suazilandia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000222;2020-06-11;61;2513;Somalia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000223;2020-06-11;55;1722;Mali;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000224;2020-06-11;3147;58568;Sudáfrica;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000225;2020-06-11;17;489;Mozambique;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000226;2020-06-11;25;4398;Yibuti;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000227;2020-06-11;19;378;Libia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000228;2020-06-11;121;3215;Kenia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000229;2020-06-11;41;1203;Madagascar;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000230;2020-06-11;164;2670;Etiopía;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000231;2020-06-11;25;8533;Marruecos;confirmed_cases_africa_ncov_2020-06-16
