DATE_INSERT;DATE_CASE;NEW_CASES;TOTAL_CASES;ID_UNISO_COUNTRY;COUNTRY_NAME;SOURCE;
"2020-05-05 16:57:32";"2020-05-04";"2";"20";"430";"LIBERIA";"https://twitter.com/NPHIL6/status/1257655456539062273/photo/1";
"2020-05-05 14:35:45";"2020-05-04";"4";"45";"729";"SUDAN";"https://twitter.com/SDN_Health/status/1257649278044065792/photo/1";
"2020-05-05 00:54:49";"2020-05-04";"6";"93";"566";"NIGERIA";"https://twitter.com/NCDCgov/status/1257441511056248833/photo/1";
"2020-05-04 23:50:16";"2020-05-04";"1";"43";"788";"TUNISIA";"https://www.businessnews.com.tn/covid-19-cinq-nouveaux-cas-de-contamination-et-406-retablissements,541,98151,3";
"2020-05-04 22:50:05";"2020-05-04";"1";"6";"266";"GABON";"https://twitter.com/Covid19GOUVGA/status/1257406726992789505";
"2020-05-04 22:10:41";"2020-05-04";"1";"1";"174";"COMOROS";"https://www.habarizacomores.com/2020/05/covid-19-un-mort-et-4-cas-confirmes.html#more";
"2020-05-04 22:05:12";"2020-05-04";"1";"37";"562";"NIGER";"https://twitter.com/Covid19Niger/status/1257397094085734410/photo/1";
"2020-05-04 21:12:30";"2020-05-04";"1";"10";"178";"CONGO";"https://twitter.com/omscongo/status/1257358495126609921";
"2020-05-04 20:44:53";"2020-05-04";"7";"138";"710";"SOUTH AFRICA";"https://twitter.com/DrZweliMkhize/status/1257377202318049285";
"2020-05-04 18:21:16";"2020-05-04";"2";"179";"504";"MOROCCO";"https://twitter.com/Ministere_Sante/status/1257344176380948481";
"2020-05-04 18:17:27";"2020-05-04";"2";"465";"12";"ALGERIA";"https://www.observalgerie.com/algerie-le-point-du-jour-sur-le-covid-19-lundi-4-mai-2020/2020/";
"2020-05-04 18:13:48";"2020-05-04";"7";"436";"818";"EGYPT";"https://twitter.com/mohpegypt/status/1257341439530471424";
"2020-05-04 16:51:28";"2020-05-04";"3";"35";"706";"SOMALIA";"https://twitter.com/SomaliaCovid19/status/1257316578774798336";
"2020-05-04 15:22:13";"2020-05-04";"2";"29";"466";"MALI";"https://twitter.com/GouvernementM/status/1257298103578824704/photo/1";
"2020-05-04 15:03:08";"2020-05-04";"1";"9";"694";"SIERRA LEONE";"https://twitter.com/mohs_sl/status/1257273250515746816/photo/1";
"2020-05-04 13:06:11";"2020-05-04";"3";"177";"504";"MOROCCO";"https://twitter.com/Ministere_Sante/status/1257250276613992448";
"2020-05-04 11:16:26";"2020-05-04";"1";"10";"686";"SENEGAL";"https://twitter.com/MinisteredelaS1/status/1257228772077703168";
